ID_Testeur,Date_Test,Scénario_ID,Commande_Proferée,Tache_Accomplie,Tps_Execution_Sec,Sortie_Assistant,Difficulte_Score_1_5
T_3CC3D7A3,2025-07-24 15:28:45,S_20250724_152836,bonjour,True,0.5673680305480957,Commande exécutée.,1
T_3CC3D7A3,2025-07-24 15:29:06,S_20250724_152836,bonjour,True,0.4997398853302002,Commande exécutée.,1
T_DCECF6DD,2025-07-24 15:38:47,S_20250724_153831,bonjour,True,5.92046046257019,Commande exécutée.,1
T_DCECF6DD,2025-07-24 15:39:35,S_20250724_153831,quelle heure est-il,True,2.5662190914154053,Commande exécutée.,1
T_B576F242,2025-07-24 15:46:18,S_20250724_154508,bonjour,True,3.301466703414917,Commande exécutée.,1
T_67713CD9,2025-07-24 15:57:23,S_20250724_155624,bonjour,True,3.2914650440216064,Commande exécutée.,1
T_67713CD9,2025-07-24 15:58:31,S_20250724_155624,bonjour,True,3.553413152694702,Commande exécutée.,1
T_CD22E094,2025-07-30 17:51:56,S_20250730_175136,bonjour,True,3.6937060356140137,Commande exécutée.,1
T_CD22E094,2025-07-30 17:52:09,S_20250730_175136,quelle heure est-il,True,3.2322561740875244,Commande exécutée.,1
T_CD22E094,2025-07-30 17:52:25,S_20250730_175136,pourcentage batter,False,0.0003654956817626953,"Commande inconnue. Pour voir les instructions disponibles, dites simplement 'aide'.",
T_CD22E094,2025-07-30 17:52:39,S_20250730_175136,aide,False,0.00020456314086914062,"Commande inconnue. Pour voir les instructions disponibles, dites simplement 'aide'.",
T_CD22E094,2025-07-30 17:53:02,S_20250730_175136,passe dis,False,0.00018548965454101562,Cette instruction ne fait pas partie de mes compétences actuelles. Essayez une commande connue.,
T_CD22E094,2025-07-30 17:53:16,S_20250730_175136,augmente le volume,True,0.10355019569396973,Commande exécutée.,1
T_CD22E094,2025-07-30 17:53:50,S_20250730_175136,tu es là,True,1.601210117340088,Commande exécutée.,1
T_CD22E094,2025-07-30 17:54:07,S_20250730_175136,salut,True,3.277796983718872,Commande exécutée.,1
T_CD22E094,2025-07-30 17:54:22,S_20250730_175136,comment vas-tu,False,0.0007483959197998047,Cette commande n’est pas disponible. Besoin d’aide ? Dites : 'quelles sont les commandes disponibles'.,
T_CD22E094,2025-07-30 17:54:51,S_20250730_175136,s'il te plaît faut ajouter en fait,False,0.000171661376953125,Cette instruction ne fait pas partie de mes compétences actuelles. Essayez une commande connue.,
T_584AF02E,2025-07-30 18:00:35,S_20250730_180015,bonjour,True,3.5070440769195557,Commande exécutée.,1
T_584AF02E,2025-07-30 18:00:47,S_20250730_180015,comment tu vas,True,2.8604674339294434,Commande exécutée.,
T_3891F766,2025-07-30 18:01:37,S_20250730_180120,bonjour,True,3.3126986026763916,Commande exécutée.,1
